Bulan,Unit,Tanggal & Jam,Beban (Mw),Konsumsi Gas (MMBTU/jam)
Januari,GTG 2.1,15/01/2025 13:00,15.6,218.76
Januari,GTG 2.1,15/01/2025 13:30,29.69,279.53
Januari,GTG 2.1,15/01/2025 14:00,30.81,284.44
Januari,GTG 2.1,15/01/2025 14:30,78.69,503.81
Januari,GTG 2.1,15/01/2025 15:00,92.67,571.43
Januari,GTG 2.1,15/01/2025 15:30,92.69,571.54
Januari,GTG 2.1,15/01/2025 16:00,92.66,571.42
Januari,GTG 2.1,15/01/2025 16:30,92.72,571.7
Januari,GTG 2.1,15/01/2025 17:00,92.69,571.55
Januari,GTG 2.1,15/01/2025 17:30,92.69,571.55
Januari,GTG 2.1,15/01/2025 18:00,92.71,571.63
Januari,GTG 2.1,15/01/2025 18:30,92.72,571.71
Januari,GTG 2.1,15/01/2025 19:00,92.72,571.67
Januari,GTG 2.1,15/01/2025 19:30,92.72,571.68
Januari,GTG 2.1,15/01/2025 20:00,92.7,571.61
Januari,GTG 2.1,15/01/2025 20:30,92.71,571.65
Januari,GTG 2.1,15/01/2025 21:00,87.44,545.93
Januari,GTG 2.1,15/01/2025 21:30,78.03,500.66
Januari,GTG 2.1,15/01/2025 22:00,77.77,499.39
Januari,GTG 2.1,15/01/2025 22:30,77.73,499.22
Januari,GTG 2.1,15/01/2025 23:00,77.73,499.21
Januari,GTG 2.1,15/01/2025 23:30,77.73,499.23
Januari,GTG 2.1,16/01/2025 00:00,77.74,499.24
Januari,GTG 2.1,16/01/2025 00:30,77.72,499.16
Januari,GTG 2.1,16/01/2025 01:00,77.73,499.19
Januari,GTG 2.1,16/01/2025 01:30,77.74,499.25
Januari,GTG 2.1,16/01/2025 02:00,77.72,499.16
Januari,GTG 2.1,16/01/2025 02:30,77.73,499.23
Januari,GTG 2.1,16/01/2025 03:00,77.71,499.09
Januari,GTG 2.1,16/01/2025 03:30,77.75,499.3
Januari,GTG 2.1,16/01/2025 04:00,77.71,499.12
Januari,GTG 2.1,16/01/2025 04:30,77.71,499.14
Januari,GTG 2.1,16/01/2025 05:00,77.71,499.11
Januari,GTG 2.1,16/01/2025 05:30,77.73,499.21
Januari,GTG 2.1,16/01/2025 06:00,77.72,499.16
Januari,GTG 2.1,16/01/2025 06:30,77.72,499.18
Januari,GTG 2.1,16/01/2025 07:00,77.74,499.24
Januari,GTG 2.1,16/01/2025 07:30,77.71,499.11
Januari,GTG 2.1,16/01/2025 08:00,77.71,499.12
Januari,GTG 2.1,16/01/2025 08:30,77.66,498.87
Januari,GTG 2.1,16/01/2025 09:00,77.67,498.91
Januari,GTG 2.1,16/01/2025 09:30,77.66,498.86
Januari,GTG 2.1,16/01/2025 10:00,77.69,499.0
Januari,GTG 2.1,16/01/2025 10:30,77.65,498.85
Januari,GTG 2.1,16/01/2025 11:00,77.65,498.85
Januari,GTG 2.1,16/01/2025 11:30,77.66,498.87
Januari,GTG 2.1,16/01/2025 12:00,77.66,498.9
Januari,GTG 2.1,16/01/2025 12:30,77.66,498.88
Januari,GTG 2.1,16/01/2025 13:00,77.66,498.87
Januari,GTG 2.1,16/01/2025 13:30,77.66,498.86
Januari,GTG 2.1,16/01/2025 14:00,77.67,498.94
Januari,GTG 2.1,16/01/2025 14:30,77.7,499.05
Januari,GTG 2.1,16/01/2025 15:00,77.62,498.71
Januari,GTG 2.1,16/01/2025 15:30,77.65,498.81
Januari,GTG 2.1,16/01/2025 16:00,77.65,498.85
Januari,GTG 2.1,16/01/2025 16:30,77.64,498.78
Januari,GTG 2.1,16/01/2025 17:00,77.68,498.97
Januari,GTG 2.1,16/01/2025 17:30,77.74,499.26
Januari,GTG 2.1,16/01/2025 18:00,77.73,499.19
Januari,GTG 2.1,16/01/2025 18:30,77.7,499.09
Januari,GTG 2.1,16/01/2025 19:00,77.73,499.21
Januari,GTG 2.1,16/01/2025 19:30,77.75,499.3
Januari,GTG 2.1,16/01/2025 20:00,77.71,499.11
Januari,GTG 2.1,16/01/2025 20:30,77.71,499.13
Januari,GTG 2.1,16/01/2025 21:00,77.72,499.14
Januari,GTG 2.1,16/01/2025 21:30,77.74,499.24
Januari,GTG 2.1,16/01/2025 22:00,77.71,499.1
Januari,GTG 2.1,16/01/2025 22:30,77.68,498.98
Januari,GTG 2.1,16/01/2025 23:00,77.7,499.05
Januari,GTG 2.1,16/01/2025 23:30,77.7,499.06
Januari,GTG 2.1,17/01/2025 00:00,77.67,498.92
Januari,GTG 2.1,17/01/2025 00:30,77.67,498.94
Januari,GTG 2.1,17/01/2025 01:00,77.68,498.97
Januari,GTG 2.1,17/01/2025 01:30,77.69,499.03
Januari,GTG 2.1,17/01/2025 02:00,77.69,499.01
Januari,GTG 2.1,17/01/2025 02:30,77.67,498.91
Januari,GTG 2.1,17/01/2025 03:00,77.68,498.95
Januari,GTG 2.1,17/01/2025 03:30,77.67,498.91
Januari,GTG 2.1,17/01/2025 04:00,77.69,499.04
Januari,GTG 2.1,17/01/2025 04:30,77.68,498.97
Januari,GTG 2.1,17/01/2025 05:00,77.67,498.93
Januari,GTG 2.1,17/01/2025 05:30,77.67,498.93
Januari,GTG 2.1,17/01/2025 06:00,77.68,498.99
Januari,GTG 2.1,17/01/2025 06:30,77.68,498.98
Januari,GTG 2.1,17/01/2025 07:00,77.68,498.96
Januari,GTG 2.1,17/01/2025 07:30,77.68,498.98
