Januari,,,,,,,,,Februari,,,,,,,,,Maret,,,,,,,,
GTG 2.1,,,GTG 2.2,,,GTG 2.3,,,GTG 2.1,,,GTG 2.2,,,GTG 2.3,,,GTG 2.1,,,GTG 2.2,,,GTG 2.3,,
Tanggal & Jam,Beban (Mw),Konsumsi Bahan Bakar Gas (Mmbtu/Jam),Tanggal & Jam,Beban (Mw),Konsumsi Bahan Bakar Gas (Mmbtu/Jam),Tanggal & Jam,Beban (Mw),Konsumsi Bahan Bakar Gas (Mmbtu/Jam),Tanggal & Jam,Beban (Mw),Konsumsi Bahan Bakar Gas (Mmbtu/Jam),Tanggal & Jam,Beban (Mw),Konsumsi Bahan Bakar Gas (Mmbtu/Jam),Tanggal & Jam,Beban (Mw),Konsumsi Bahan Bakar Gas (Mmbtu/Jam),Tanggal & Jam,Beban (Mw),Konsumsi Bahan Bakar Gas (Mmbtu/Jam),Tanggal & Jam,Beban (Mw),Konsumsi Bahan Bakar Gas (Mmbtu/Jam),Tanggal & Jam,Beban (Mw),Konsumsi Bahan Bakar Gas (Mmbtu/Jam)
15/01/2025 00:00,-,-,18/01/2025 00:00,-,-,15/01/2025 00:00,-,-,01/02/2025 0:00,-,-,19/02/2025 00:00,-,-,18/02/2025 00:00,-,-,22/03/2025 00:00,76.9,495.25,06/03/2025 0:00,-,-,01/03/2025 0:00,80.69,513.37
15/01/2025 00:30,-,-,18/01/2025 00:30,-,-,15/01/2025 00:30,-,-,01/02/2025 0:30,-,-,19/02/2025 00:30,-,-,18/02/2025 00:30,-,-,22/03/2025 00:30,79.67,508.5,06/03/2025 0:30,-,-,01/03/2025 0:30,80.69,513.37
15/01/2025 01:00,-,-,18/01/2025 01:00,-,-,15/01/2025 01:00,-,-,01/02/2025 1:00,-,-,19/02/2025 01:00,-,-,18/02/2025 01:00,-,-,22/03/2025 01:00,79.64,508.35,06/03/2025 1:00,-,-,01/03/2025 1:00,80.67,513.26
15/01/2025 01:30,-,-,18/01/2025 01:30,-,-,15/01/2025 01:30,-,-,01/02/2025 1:30,-,-,19/02/2025 01:30,-,-,18/02/2025 01:30,-,-,22/03/2025 01:30,79.66,508.46,06/03/2025 1:30,-,-,01/03/2025 1:30,80.72,513.51
15/01/2025 02:00,-,-,18/01/2025 02:00,-,-,15/01/2025 02:00,-,-,01/02/2025 2:00,-,-,19/02/2025 02:00,-,-,18/02/2025 02:00,-,-,22/03/2025 02:00,79.65,508.4,06/03/2025 2:00,-,-,01/03/2025 2:00,80.76,513.7
15/01/2025 02:30,-,-,18/01/2025 02:30,-,-,15/01/2025 02:30,-,-,01/02/2025 2:30,-,-,19/02/2025 02:30,-,-,18/02/2025 02:30,-,-,22/03/2025 02:30,79.66,508.42,06/03/2025 2:30,-,-,01/03/2025 2:30,80.74,513.63
15/01/2025 03:00,-,-,18/01/2025 03:00,-,-,15/01/2025 03:00,-,-,01/02/2025 3:00,-,-,19/02/2025 03:00,-,-,18/02/2025 03:00,-,-,22/03/2025 03:00,79.69,508.57,06/03/2025 3:00,-,-,01/03/2025 3:00,80.76,513.71
15/01/2025 03:30,-,-,18/01/2025 03:30,-,-,15/01/2025 03:30,-,-,01/02/2025 3:30,-,-,19/02/2025 03:30,-,-,18/02/2025 03:30,-,-,22/03/2025 03:30,76.52,493.43,06/03/2025 3:30,-,-,01/03/2025 3:30,80.72,513.51
15/01/2025 04:00,-,-,18/01/2025 04:00,-,-,15/01/2025 04:00,-,-,01/02/2025 4:00,-,-,19/02/2025 04:00,-,-,18/02/2025 04:00,-,-,22/03/2025 04:00,76.69,494.23,06/03/2025 4:00,-,-,01/03/2025 4:00,80.73,513.57
15/01/2025 04:30,-,-,18/01/2025 04:30,-,-,15/01/2025 04:30,-,-,01/02/2025 4:30,-,-,19/02/2025 04:30,-,-,18/02/2025 04:30,-,-,22/03/2025 04:30,76.69,494.26,06/03/2025 4:30,-,-,01/03/2025 4:30,80.67,513.27
15/01/2025 05:00,-,-,18/01/2025 05:00,-,-,15/01/2025 05:00,-,-,01/02/2025 5:00,-,-,19/02/2025 05:00,-,-,18/02/2025 05:00,-,-,22/03/2025 05:00,76.69,494.27,06/03/2025 5:00,-,-,01/03/2025 5:00,80.67,513.29
15/01/2025 05:30,-,-,18/01/2025 05:30,-,-,15/01/2025 05:30,-,-,01/02/2025 5:30,-,-,19/02/2025 05:30,-,-,18/02/2025 05:30,-,-,22/03/2025 05:30,71.24,468.42,06/03/2025 5:30,-,-,01/03/2025 5:30,80.68,513.33
15/01/2025 06:00,-,-,18/01/2025 06:00,-,-,15/01/2025 06:00,-,-,01/02/2025 6:00,-,-,19/02/2025 06:00,-,-,18/02/2025 06:00,-,-,22/03/2025 06:00,2.16,162.35,06/03/2025 6:00,-,-,01/03/2025 6:00,87.93,548.3
